repeat,fold,train_loans,validation_loans,train_properties,validation_properties,train_positive_share,validation_positive_share,property_overlap,model,target_policy,r2,mse,rmse,mae,bias,loan_balance_weighted_mse,prediction_min,prediction_max,pct_predictions_below_zero,pct_predictions_above_one
2,2,31791,7908,29582,7396,0.16058003837564092,0.16122913505311076,0,linear_current_state,raw supplied severity,0.5262471173076366,0.018441396115181842,0.13579910204114695,0.06608001738360357,-0.00025301277936576604,0.025738690135944913,-0.18375470420491244,0.7036550486357906,0.31815882650480526,0.0
2,2,31791,7908,29582,7396,0.16058003837564092,0.16122913505311076,0,hurdle_current_state,raw supplied severity,0.6009528853943262,0.01553338497328413,0.12463300114048498,0.04779111224392378,-0.0016068817062062498,0.021909180369757485,4.521601412075794e-05,1.0493532060535706,0.0,0.00012645422357106728
2,3,31743,7956,29582,7396,0.16060233752323347,0.1611362493715435,0,linear_current_state,raw supplied severity,0.34970450691538546,0.041144466381359934,0.2028409879224609,0.06764327043219516,-0.0050251760199659995,0.04148890231860486,-0.15194246047790583,0.7851536459664259,0.3210155857214681,0.0
2,3,31743,7956,29582,7396,0.16060233752323347,0.1611362493715435,0,hurdle_current_state,raw supplied severity,0.39521087570438507,0.038265259496662776,0.19561507993164223,0.05100034808349033,-0.006286892428608708,0.037876479626681024,6.208633590058998e-05,0.8810038432555785,0.0,0.0
2,4,31747,7952,29583,7395,0.16077109648155732,0.16046277665995975,0,linear_current_state,raw supplied severity,0.5036303368271224,0.019078641398413074,0.13812545528762277,0.06694070880061116,0.0015961282558626462,0.020064333289262628,-0.11077230417053367,0.6427727773100457,0.3131287726358149,0.0
2,4,31747,7952,29583,7395,0.16077109648155732,0.16046277665995975,0,hurdle_current_state,raw supplied severity,0.5751378403612092,0.016330153490223882,0.12778948896612696,0.04914221904211138,-0.0006377865600307471,0.016111933869962857,5.1035801020381117e-05,0.9568241027152323,0.0,0.0
2,5,31766,7933,29583,7395,0.16139898004155387,0.15794781293331653,0,linear_current_state,raw supplied severity,0.5273406091165898,0.017443459057951763,0.1320736879849721,0.0655559546036494,0.0016599079638740855,0.020607516377274183,-0.15528470313909248,0.6259512054932028,0.31728223874952727,0.0
2,5,31766,7933,29583,7395,0.16139898004155387,0.15794781293331653,0,hurdle_current_state,raw supplied severity,0.6042297690980849,0.01460587042646227,0.12085474929212452,0.04689767662472293,-0.00011598790529762899,0.01846440917828204,6.712731570443586e-05,0.8409566876980147,0.0,0.0
3,1,31677,8022,29582,7396,0.15973734886510718,0.16454749439042632,0,linear_current_state,raw supplied severity,0.3435230222693718,0.0409267631550811,0.20230364098325343,0.0687208067329302,-0.0018797567037035464,0.04085738800361834,-0.14265608689241188,0.7129950880112085,0.31388681126901025,0.0
3,1,31677,8022,29582,7396,0.15973734886510718,0.16454749439042632,0,hurdle_current_state,raw supplied severity,0.3991408802789981,0.03745937742919976,0.19354425186297775,0.05145298287499336,-0.0033772679155672793,0.035780363051875576,7.524788853640108e-05,0.789808051815236,0.0,0.0
