loan_id,propname,linear_severity,hurdle_severity,selected_model
72234,Property6584,0.016897965146964927,0.0023168248303302467,hurdle_current_state
119145,Property19355,0.021594903078958852,0.0009825420424384734,hurdle_current_state
15241,Property14989,0.023916088398879626,0.01638618605932542,hurdle_current_state
81038,Property10376,-0.03907246982421346,0.000584142470018181,hurdle_current_state
11406,Property13032,-0.007690670434578065,0.0014037840541729187,hurdle_current_state
51566,Property5632,0.03886886584506005,0.03247679328155482,hurdle_current_state
115366,Property14824,-0.002693674164228277,0.0018323192965673239,hurdle_current_state
2444,Property6866,0.026688272808357436,0.019434322187922962,hurdle_current_state
38117,Property33399,0.017103640604077125,0.010154887456328964,hurdle_current_state
82397,Property33104,0.0013651255207381002,0.00040574236369515007,hurdle_current_state
34444,Property18721,-0.022174816038699738,0.0006673615797554418,hurdle_current_state
86990,Property7296,0.21214315127688954,0.029755751279026306,hurdle_current_state
13024,Property11544,0.04084775767444225,0.01692361502402131,hurdle_current_state
20250,Property852,0.05341002672714641,0.010617424483946168,hurdle_current_state
78760,Property6394,0.027272370235669516,0.00695045561609665,hurdle_current_state
65809,Property3174,0.0008906789358853473,0.0022568843209971653,hurdle_current_state
4283,Property14675,0.03774817840983305,0.0006962903723448667,hurdle_current_state
117578,Property999,-0.021880796177279963,0.0024688292045340343,hurdle_current_state
44470,Property15237,0.3758234128945986,0.40311935805303556,hurdle_current_state
20063,Property28351,0.0035837921730171585,0.0005658919183256931,hurdle_current_state
48642,Property35295,0.08597567171692609,0.028711161496530604,hurdle_current_state
84425,Property24704,0.04418632711845237,0.0026026912975805265,hurdle_current_state
10022,Property23455,0.006759504516788861,0.0017725084092058952,hurdle_current_state
10265,Property35916,0.04487601189475572,0.06342899811530593,hurdle_current_state
11115,Property6307,-0.03593007753170881,0.0007593596414273816,hurdle_current_state
24300,Property572,-0.02392591068980418,0.0003517164700910004,hurdle_current_state
67508,Property32400,0.3442178277267106,0.2758843674446787,hurdle_current_state
114923,Property25967,0.41142246892180556,0.504450448447025,hurdle_current_state
39636,Property7524,0.01805539991565483,0.0026272816264760615,hurdle_current_state
37205,Property26592,0.3693560438140827,0.41623364857113154,hurdle_current_state
65361,Property7955,0.0021706257143543767,0.0009874789070090412,hurdle_current_state
3178,Property621,-0.008203405216430204,0.0022395725828822993,hurdle_current_state
37834,Property17037,0.030042943766368194,0.02472814827967169,hurdle_current_state
44604,Property17080,0.376238571919116,0.40924317099104546,hurdle_current_state
75110,Property35648,-0.005414546633600872,0.0005073571013464354,hurdle_current_state
4740,Property29529,0.004695118028617856,0.0012125917774711116,hurdle_current_state
194113,Property20402,0.07553642510405251,0.2827641941170975,hurdle_current_state
53496,Property15320,0.0021352402814474453,0.0011101343392245127,hurdle_current_state
1638,Property10202,-0.01794421709580206,0.0007341632459540791,hurdle_current_state
12711,Property33782,0.06621511072686719,0.00688418336150954,hurdle_current_state
32631,Property1800,0.012500434809206803,0.0008582587476026787,hurdle_current_state
81119,Property34592,0.00028687790566889193,0.0012451377741357348,hurdle_current_state
55016,Property24074,-0.015007020700459422,0.0007171495861279415,hurdle_current_state
1914,Property5401,-0.05656314876258425,0.0002463529818360342,hurdle_current_state
115492,Property15519,-0.007308159906405098,0.001256324963252804,hurdle_current_state
24671,Property3616,-0.022279052237533944,0.00011093629241604703,hurdle_current_state
21585,Property16456,0.37012717250517263,0.4236792881939493,hurdle_current_state
43582,Property19879,0.020108381363361877,0.0013028010472099058,hurdle_current_state
53906,Property30469,0.03790214427264281,0.020651033232805614,hurdle_current_state
15985,Property842,-0.040507861521624444,0.00013176987869984477,hurdle_current_state
25515,Property11390,-0.02161976936258353,0.000897772435146414,hurdle_current_state
41366,Property3425,-0.0006917987166550621,0.0007693223624886057,hurdle_current_state
34805,Property34557,0.38113879932843975,0.42490057633007683,hurdle_current_state
222088,Property37287,-0.005681159879549494,0.0017566410503553117,hurdle_current_state
58488,Property37093,0.026854136489678784,0.005204415058677031,hurdle_current_state
115453,Property20428,0.005180682523318825,0.000633252485321446,hurdle_current_state
244379,Property37749,0.37565342986429423,0.5466602218710949,hurdle_current_state
69963,Property26969,0.02748965492955672,0.016420446951913335,hurdle_current_state
56362,Property32233,0.039780057238987684,0.008700614817143739,hurdle_current_state
20020,Property6877,-0.051400290519931946,0.00019375166040248021,hurdle_current_state
47911,Property23513,0.4011192832854731,0.38073130662277943,hurdle_current_state
